,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,ID,Name ID,Race,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Alignment  1,Alignment 2,Guest Character Identity,Guest Character Conditions?,Unknown,Level,Compendium,Unknown,Unknown,Unknown,Unknown,Basic Attack Hit,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,HP,MP,HP Growth,MP Growth,Strength,Vitality,Magic,Agility,Luck,Strength Growth,Vitality Growth,Magic Growth,Agility Growth,Luck Growth,Growth Total,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Guest Character,Unknown,Unknown,Unknown,Unknown,Compendium Cost Multiplier?,Unknown,Unknown,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill Level 1,Skill at Skill Level 1,Skill Level 2,Skill at Skill Level 2,Skill Level 3,Skill at Skill Level 3,Skill Level 4,Skill at Skill Level 4,Skill Level 5,Skill at Skill Level 5,Skill Level 6,Skill at Skill Level 6,Skill Level 7,Skill at Skill Level 7,Skill Level 8,Skill at Skill Level 8,Skill Level 9,Skill at Skill Level 9,Skill Level 10,Skill at Skill Level 10,Skill Level 11,Skill at Skill Level 11,Skill Level 12,Skill at Skill Level 12,Innate Skill,Phys,Fire,Ice,Elec,Force,Light,Dark,Almighty,Poison,Vertigo,Confusion,Charm,Sleep,Seal,Stray,Burn,Freeze,Shock,Laceration,Stone,Mirage,Mud,Recv00,Recv01,Recv02,Recv03,Recv04,Recv05,PotPhys,PotFire,PotIce,PotElec,PotForce,PotLight,PotDark,PotAlmighty,PotAilment,PotSupport,PotHeal,Recovery NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arahabaki,211,211,27 (Kunitsu),0,1,0,0,0,1,2 (Light),5 (Chaos),0,0,0,62,1,0,1,1,0,98,0,5,100,70,100,0,290,317,18,25,27,37,58,34,52,13,18,28,16,25,100,10,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Mudoon (62),Skill_Megidola (74),Skill_Tetrakarn (139),,,,,,,,,,63,438,64,136,65,468,,,,,,,,,,,,,,,,,,,Skill_AffableHospitality (617),Null (0),125,125,125,125,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,-4,-2,-3,-3,0,0,3,0,3,0,0,0,0,120,0,120,0
Oyamatsumi,212,212,27 (Kunitsu),0,1,0,0,0,1,2 (Light),5 (Chaos),0,0,0,40,1,0,1,1,0,98,0,5,100,70,100,0,261,140,26,17,36,38,23,18,26,23,28,16,15,18,100,10,8,0,0,7,0,0,0,0,0,0,0,214,2,0,0,100,4,0,Skill_IceDracostrike (179),Skill_Matarukaja (119),,,,,,,,,,,41,125,42,213,43,116,,,,,,,,,,,,,,,,,,,Skill_WrathofOyamatsumi_PassivePart (682),100,125,50,50,100,100,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,125,100,100,100,100,100,100,100,2,-6,5,0,0,0,0,0,0,4,1,1,0,0,120,0,120,0
Kushinada-Hime,213,213,27 (Kunitsu),0,1,0,0,0,1,2 (Light),5 (Chaos),0,0,0,49,1,0,1,1,0,98,0,5,100,70,100,0,218,259,18,26,22,27,50,36,37,13,16,28,21,22,100,10,7,0,0,84,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Mediarama (101),Skill_Dekaja (127),,,,,,,,,,,50,71,51,499,52,363,,,,,,,,,,,,,,,,,,,Skill_MonstrousOffering (536),100,100,100,100,100,Null (0),125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,3,-3,0,0,1,4,4,0,0,120,0,120,0
Sukuna-Hikona,214,214,27 (Kunitsu),1,1,0,0,0,1,2 (Light),5 (Chaos),0,0,0,37,1,0,1,1,0,98,0,5,100,70,100,0,206,169,23,21,28,26,30,26,26,22,17,22,18,21,100,10,8,1,1,55,83,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_EternalBlizzard (219),Skill_FatalSword (184),Skill_Matarukaja (119),,,,,,,,,,38,474,39,186,40,142,,,,,,,,,,,,,,,,,,,Skill_NationBuilder (663),100,100,Null (0),125,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,0,4,-5,4,0,0,0,0,3,0,0,0,0,120,0,120,0
Okuninushi,215,215,27 (Kunitsu),1,1,0,0,0,1,2 (Light),5 (Chaos),0,0,0,55,1,0,1,1,0,98,0,5,100,70,100,0,320,236,23,20,47,47,26,40,28,27,24,14,19,16,100,10,7,0,0,83,0,0,0,0,0,0,0,178,2,0,0,100,4,0,Skill_FatalSword (184),Skill_Mediarama (101),Skill_MePatra (108),,,,,,,,,,56,189,57,245,58,363,,,,,,,,,,,,,,,,,,,Skill_NationFounder (664),100,100,125,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,0,-5,0,0,2,0,0,0,0,4,4,0,0,120,0,120,0
Take-Minakata,216,216,27 (Kunitsu),0,1,0,0,0,1,2 (Light),5 (Chaos),0,0,0,19,1,0,1,1,0,98,0,5,100,70,100,0,107,98,24,18,18,18,12,16,15,23,25,17,14,21,100,10,3,0,0,83,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Lunge (157),Skill_Shockbound (44),,,,,,,,,,,20,142,21,33,22,434,,,,,,,,,,,,,,,,,,,Skill_PandemonicFeast (632),100,125,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,-3,0,2,0,0,0,0,-1,0,0,0,0,0,120,0,120,0
Jack Frost,217,58,27 (Kunitsu),0,1,0,0,0,1,1 (Neutral),1 (Neutral),0,0,0,1,0,0,1,1,0,98,0,5,100,70,100,0,34,55,21,20,4,5,4,4,4,20,21,20,19,20,100,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Jack Frost,218,58,27 (Kunitsu),0,1,0,0,0,1,1 (Neutral),1 (Neutral),0,0,0,1,0,0,1,1,0,98,0,5,100,70,100,0,38,50,23,18,6,5,3,4,4,28,23,14,18,17,100,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Jack Frost,219,58,27 (Kunitsu),0,1,0,0,0,1,1 (Neutral),1 (Neutral),0,0,0,1,0,0,1,1,0,98,0,5,100,70,100,0,41,47,25,17,5,6,4,3,4,23,28,16,15,18,100,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Jack Frost,220,58,27 (Kunitsu),0,1,0,0,0,1,1 (Neutral),1 (Neutral),0,0,0,1,0,0,1,1,0,98,0,5,100,70,100,0,41,47,25,17,5,6,4,3,4,23,28,16,15,18,100,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Ganesha,221,221,11 (Wargod),1,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,57,1,0,1,1,0,98,0,5,100,70,100,0,364,217,25,18,50,54,31,23,35,25,28,16,13,18,100,10,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_MightyCleave (243),Skill_MistRush (189),Skill_WindDracostrike (181),,,,,,,,,,58,260,59,489,60,447,,,,,,,,,,,,,,,,,,,Skill_DivineBenevolence (598),50,100,100,125,Null (0),100,125,100,125,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3,0,0,-6,1,0,0,0,0,4,0,0,0,0,120,0,120,0
Siegfried,222,222,11 (Wargod),1,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,63,1,0,1,1,0,98,0,5,100,70,100,0,338,213,21,17,59,41,30,47,33,28,19,15,21,17,100,10,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_BraveBlade (164),Skill_Titanomachia (168),Skill_MistRush (189),Skill_MightyCleave (243),,,,,,,,,64,472,65,444,66,148,,,,,,,,,,,,,,,,,,,Skill_DragonsBlood (553),Drain (1000),100,100,100,125,125,125,100,100,100,100,100,100,125,100,100,100,100,100,100,125,100,100,100,100,100,100,100,6,0,0,0,0,-5,-5,-5,0,1,-4,-4,0,0,120,0,120,0
Valkyrie,223,223,6 (Yoma),1,1,0,0,0,1,1 (Neutral),4 (Law),0,0,0,40,1,0,1,1,0,98,0,5,100,70,100,0,222,148,23,18,42,32,18,26,24,28,23,14,18,17,100,10,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_CriticalWave (167),Skill_StormDracostrike (180),,,,,,,,,,,41,472,42,40,43,413,,,,,,,,,,,,,,,,,,,Skill_Helmsman (654),100,100,100,100,125,Null (0),100,100,100,100,100,50,100,125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3,0,0,2,-4,0,0,0,0,2,0,0,0,0,67,68,141,142
Yoshitsune,224,224,11 (Wargod),1,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,45,1,0,1,1,0,98,0,5,100,70,100,0,253,200,22,19,47,25,22,46,31,28,15,14,26,17,100,10,10,0,0,83,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_HassouTobi (233),Skill_PierceArmor (173),,,,,,,,,,,46,172,47,435,48,464,,,,,,,,,,,,,,,,,,,Skill_YumiNagashi (653),50,100,100,100,100,100,125,100,125,100,100,100,125,100,100,100,100,100,100,100,Null (0),100,100,100,100,100,100,100,5,0,0,0,0,0,-4,0,0,1,0,0,0,0,120,0,120,0
Neko Shogun,225,225,11 (Wargod),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,5,1,0,1,1,0,98,0,5,100,70,100,0,57,73,22,24,6,11,7,4,8,19,25,21,13,22,100,10,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Dia (97),Skill_Rakunda (134),,,,,,,,,,,6,132,8,171,,,,,,,,,,,,,,,,,,,,,Skill_PawtoPawCombat (564),100,125,100,Null (0),125,50,100,100,50,100,50,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,0,-1,0,0,-3,0,0,-4,0,3,3,3,0,0,120,0,120,0
Nezha Taizi,226,226,11 (Wargod),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,28,1,0,1,1,0,98,0,5,100,70,100,0,155,137,23,20,28,22,24,16,14,25,22,23,16,14,100,10,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Agilao (3),Skill_Zanma (48),Skill_BerserkerGod (158),,,,,,,,,,29,434,30,929,32,443,,,,,,,,,,,,,,,,,,,Skill_UniverseRing_PassivePart (680),100,50,100,125,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,2,0,-2,2,0,0,-2,0,0,-2,-2,0,0,120,0,120,0
Masakado,227,227,11 (Wargod),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,94,1,0,1,1,0,98,0,5,100,70,100,0,676,409,24,19,104,89,46,59,83,28,25,11,13,23,100,10,11,1,1,97,6,0,0,0,0,0,0,240,30,0,0,100,4,0,Skill_RecalcitrantExecution2 (874),Skill_BraveBlade (164),Skill_FigmentSlash (194),Skill_CriticalZealot (447),,,,,,,,,95,77,96,481,97,506,,,,,,,,,,,,,,,,,,,Skill_ScarletBlade (658),50,100,100,100,100,Null (0),Null (0),100,100,100,100,100,125,100,100,100,100,100,100,100,125,100,100,100,100,100,100,100,6,0,0,0,0,-4,-4,6,0,0,0,0,0,0,120,0,120,0
Jack Frost,228,58,11 (Wargod),0,1,0,0,0,1,1 (Neutral),1 (Neutral),0,0,0,1,0,0,1,1,0,98,0,5,100,70,100,0,38,50,23,18,6,5,3,4,4,28,23,14,18,17,100,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Jack Frost,229,58,11 (Wargod),0,1,0,0,0,1,1 (Neutral),1 (Neutral),0,0,0,1,0,0,1,1,0,98,0,5,100,70,100,0,34,55,21,20,4,5,4,4,4,20,21,20,19,20,100,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Jack Frost,230,58,7 (Vile),0,1,0,0,0,1,3 (Dark),4 (Law),0,0,0,99,0,0,1,1,0,98,0,5,100,70,100,0,641,487,21,20,87,95,94,72,85,20,21,25,14,20,100,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Mada,231,231,7 (Vile),0,1,0,0,0,1,3 (Dark),4 (Law),0,0,0,76,1,0,1,1,0,98,0,5,100,70,100,0,469,353,22,21,64,61,69,41,38,23,22,25,15,15,100,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_HadesBlast (163),Skill_Trisagion (8),Skill_Mediarahan (102),Skill_Debilitate (136),,,,,,,,,77,137,79,13,80,160,,,,,,,,,,,,,,,,,,,Skill_AiledResurgence (619),100,Drain (1000),125,100,100,100,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3,5,-4,0,0,0,0,-3,0,2,3,3,0,0,6,0,6,0
Girimekhala,232,232,7 (Vile),1,1,0,0,0,1,3 (Dark),4 (Law),0,0,0,66,1,0,1,1,0,98,0,5,100,70,100,0,335,225,20,18,61,40,46,35,38,28,19,21,15,17,100,10,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_HellThrust (166),Skill_HadesBlast (163),Skill_Marakunda (135),,,,,,,,,,67,250,68,447,69,471,,,,,,,,,,,,,,,,,,,Skill_ElephantineRicochet (639),Repel (999),100,100,125,125,125,50,100,50,100,100,100,125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4,0,0,0,0,0,0,0,1,2,-3,-3,0,0,88,95,88,95
Pazuzu,233,233,7 (Vile),0,1,0,1,0,1,3 (Dark),5 (Chaos),0,0,0,52,1,0,1,1,0,98,0,5,100,70,100,0,273,241,20,22,31,34,41,35,40,18,21,25,21,15,100,10,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Zandyne (50),Skill_Mamudoon (65),Skill_Tentarafoo (90),Skill_Safeguard (472),,,,,,,,,53,369,54,127,55,440,,,,,,,,,,,,,,,,,,,Skill_CompoundedCalamity (588),100,100,125,100,50,100,Null (0),100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,-5,0,3,0,1,0,4,0,0,0,0,0,19,0,126,0
Mishaguji,234,234,7 (Vile),1,1,0,0,0,1,3 (Dark),4 (Law),0,0,0,42,1,0,1,1,0,98,0,5,100,70,100,0,235,159,23,18,39,31,21,32,25,28,23,14,18,17,100,10,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Beatdown (169),Skill_Matarunda (129),Skill_ResistLight (425),,,,,,,,,,43,40,44,246,45,65,,,,,,,,,,,,,,,,,,,Skill_FairWeatherPrayer (580),100,100,100,Null (0),125,125,Null (0),100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,3,-6,0,2,0,0,1,0,0,0,0,67,73,141,146
Baphomet,235,235,7 (Vile),0,1,0,0,0,1,3 (Dark),5 (Chaos),0,0,0,33,1,0,1,1,0,98,0,5,100,70,100,0,142,180,19,24,16,19,34,26,26,16,16,28,19,21,100,10,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Maragion (10),Skill_Mudoon (62),,,,,,,,,,,34,64,35,501,36,369,,,,,,,,,,,,,,,,,,,Skill_DarkGestalt (652),100,100,100,100,100,125,Null (0),100,125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,0,0,0,-3,3,0,0,0,0,0,0,0,51,65,51,65
Lahmu,236,236,7 (Vile),0,1,0,0,1,1,3 (Dark),5 (Chaos),0,0,0,48,1,0,1,1,0,98,0,5,100,70,100,0,253,264,20,25,30,36,49,27,30,17,20,28,17,18,100,10,6,1,1,37,0,0,0,0,0,0,0,160,2,0,0,100,4,0,Skill_SiltofRuin (291),Skill_PurpleSmoke (176),Skill_Bufudyne (20),Skill_Mudoon (62),,,,,,,,,49,90,50,40,51,440,,,,,,,,,,,,,,,,,,,Skill_DivineDecree (586),100,125,50,100,50,100,Null (0),100,100,100,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,-4,3,0,2,0,3,2,3,0,0,0,0,0,120,0,120,0
Saturnus,237,237,7 (Vile),0,1,0,0,0,1,3 (Dark),4 (Law),0,0,0,88,1,0,1,1,0,98,0,5,100,70,100,0,588,389,23,20,85,65,60,52,48,28,21,20,16,15,100,10,1,0,0,5,0,0,0,0,0,0,0,239,30,0,0,100,4,0,Skill_Ragnarok (13),Skill_EatWhole (206),Skill_Maragibarion (12),,,,,,,,,,89,200,90,8,91,492,,,,,,,,,,,,,,,,,,,Skill_PriceofProsperity (624),100,Drain (1000),125,100,100,Null (0),50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4,5,-5,0,0,0,0,-2,0,0,0,0,0,0,120,0,120,0
Tzitzimitl,238,238,7 (Vile),0,1,0,0,0,1,3 (Dark),4 (Law),0,0,0,75,1,0,1,1,0,98,0,5,100,70,100,0,393,394,18,25,32,49,74,52,44,14,19,28,20,20,101,10,6,0,0,10,0,0,0,0,0,0,0,233,30,0,0,100,4,0,Skill_Makajamaon (94),Skill_Mudobarion (63),Skill_Bufubarion (22),,,,,,,,,,76,148,77,28,78,66,,,,,,,,,,,,,,,,,,,Skill_MyopicPressure (551),100,125,100,100,100,Null (0),Null (0),100,100,100,125,100,100,Null (0),100,100,100,100,100,100,125,100,100,100,100,100,100,100,0,0,3,0,0,0,4,0,0,0,-4,-4,0,0,120,0,120,0
Jack Frost,239,58,7 (Vile),0,1,0,0,0,1,1 (Neutral),1 (Neutral),0,0,0,1,0,0,1,1,0,98,0,5,100,70,100,0,30,69,18,25,3,4,6,5,5,13,16,28,21,22,100,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Abdiel,240,240,2 (Herald),1,1,0,0,0,1,2 (Light),4 (Law),0,0,0,80,1,0,1,1,0,98,0,5,100,70,100,0,535,346,23,20,70,50,65,55,31,27,22,18,20,13,100,10,5,1,1,34,0,0,0,0,0,0,0,172,2,0,0,100,4,0,Skill_LightsDescent (269),Skill_MyriadSlashes (185),Skill_FloralGust (58),,,,,,,,,,81,38,82,504,83,160,,,,,,,,,,,,,,,,,,,Skill_PurgingBlade (556),100,100,100,50,50,Repel (999),125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,0,0,2,2,5,-5,-4,-2,0,0,0,0,0,120,0,120,0
Metatron,241,241,2 (Herald),0,1,0,0,0,1,2 (Light),4 (Law),0,0,0,95,1,0,1,1,0,98,0,5,100,70,100,0,626,443,21,20,82,79,95,72,76,18,20,24,19,19,100,10,11,0,0,41,6,0,0,0,0,0,0,168,2,0,0,100,4,0,Skill_FireofSinai (226),Skill_Megidolaon (75),Skill_Dekaja (127),Skill_Dekunda (137),,,,,,,,,96,69,97,428,98,506,,,,,,,,,,,,,,,,,,,Skill_CeaselessCrucifixion (675),100,50,50,50,50,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,5,0,6,-4,2,-4,-4,0,0,120,0,120,0
Michael,242,242,2 (Herald),1,1,0,0,0,1,2 (Light),4 (Law),0,0,0,90,1,0,1,1,0,98,0,5,100,70,100,0,552,474,20,23,76,65,78,76,59,16,18,24,20,22,100,10,11,1,1,75,6,0,0,0,0,0,0,186,2,0,0,100,4,0,Skill_AkashicArts (160),Skill_Trisagion (8),Skill_Mahamabarion (72),Skill_Megidolaon (75),,,,,,,,,91,13,92,168,93,408,,,,,,,,,,,,,,,,,,,Skill_AngelicOrder (568),100,Null (0),Null (0),100,125,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,5,0,0,-4,3,-5,4,0,0,0,0,0,0,120,0,120,0
Gabriel,243,243,2 (Herald),1,1,0,0,0,1,2 (Light),4 (Law),0,0,0,86,1,0,1,1,0,98,0,5,100,70,100,0,534,437,21,22,56,65,73,64,67,16,20,25,19,20,100,10,2,1,1,76,87,0,0,0,0,0,0,185,2,0,0,100,4,0,Skill_IceAge (23),Skill_Mahamabarion (72),Skill_Diamrita (150),Skill_Samarecarm (116),,,,,,,,,87,494,88,28,90,412,,,,,,,,,,,,,,,,,,,Skill_AngelicOrder (568),100,50,Null (0),125,100,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,5,-4,0,3,0,0,-7,1,3,3,0,0,120,0,120,0
Sraosha,244,244,2 (Herald),0,1,0,0,0,1,2 (Light),4 (Law),0,0,0,77,1,0,1,1,0,98,0,5,100,70,100,0,399,407,19,24,33,43,67,68,55,12,15,26,26,21,100,10,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_Mahamabarion (72),Skill_Mediarahan (102),Skill_Makarakarn (140),,,,,,,,,,78,81,79,69,80,504,,,,,,,,,,,,,,,,,,,Skill_LightGestalt (651),100,100,50,50,125,Drain (1000),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,-5,5,0,2,0,0,3,3,0,0,120,0,120,0
Raphael,245,245,2 (Herald),1,1,0,0,0,1,2 (Light),4 (Law),0,0,0,84,1,0,1,1,0,98,0,5,100,70,100,0,528,387,22,21,70,62,80,50,48,24,21,23,16,16,100,10,4,1,1,77,3,0,0,0,0,0,0,184,2,0,0,100,4,0,Skill_Mazanbarion (57),Skill_Hamabarion (69),Skill_Makajamaon (94),Skill_MePatra (108),,,,,,,,,85,498,86,53,87,420,,,,,,,,,,,,,,,,,,,Skill_AngelicOrder (568),100,125,100,50,Null (0),Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,-4,0,0,5,3,0,0,2,-2,3,3,0,0,120,0,120,0
Sandalphon,246,246,2 (Herald),0,1,0,0,0,1,2 (Light),4 (Law),0,0,0,88,1,0,1,1,0,98,0,5,100,70,100,0,536,458,21,23,71,74,83,63,53,18,23,25,18,16,100,10,11,0,0,81,6,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_ThunderReign (43),Skill_Hamabarion (69),Skill_Freikugel (77),Skill_Megidolaon (75),,,,,,,,,89,38,90,363,91,416,,,,,,,,,,,,,,,,,,,Skill_GloriousInvocation (584),Null (0),100,100,Null (0),125,Null (0),50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,3,-4,5,0,3,-5,0,0,0,0,0,120,0,120,0
Uriel,247,247,2 (Herald),1,1,0,0,0,1,2 (Light),4 (Law),0,0,0,82,1,0,1,1,0,98,0,5,100,70,100,0,516,371,21,20,66,59,64,57,45,23,21,22,19,15,100,10,1,1,1,78,5,0,0,0,0,0,0,183,2,0,0,100,4,0,Skill_AkashicArts (160),Skill_Ragnarok (13),Skill_Maziobarion (42),,,,,,,,,,83,69,84,194,85,38,,,,,,,,,,,,,,,,,,,Skill_AngelicOrder (568),100,Null (0),125,50,100,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,5,-5,2,0,3,0,0,0,-4,0,0,0,0,120,0,120,0
Camael,248,248,2 (Herald),1,1,0,0,0,1,2 (Light),4 (Law),0,0,0,69,1,0,1,1,0,98,0,5,100,70,100,0,407,286,21,20,50,58,45,39,35,22,25,20,17,16,100,10,5,0,0,5,0,0,0,0,0,0,0,177,2,0,0,100,4,0,Skill_HadesBlast (163),Skill_Agibarion (7),Skill_Diarahan (99),,,,,,,,,,70,406,71,192,72,69,,,,,,,,,,,,,,,,,,,Skill_Flameof12000Angels (560),100,50,125,100,100,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3,0,-4,0,0,2,0,0,0,0,2,2,0,0,120,0,120,0
Melchizedek,249,249,2 (Herald),0,1,0,0,0,1,2 (Light),4 (Law),0,0,0,60,1,0,1,1,0,98,0,5,100,70,100,0,314,281,21,22,44,41,30,52,38,21,20,15,26,18,100,10,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,4,0,Skill_MortalJihad (159),Skill_Hamaon (68),Skill_Mahamaon (71),,,,,,,,,,61,368,62,170,63,148,,,,,,,,,,,,,,,,,,,Skill_LightEnhancer (604),100,100,100,100,125,Drain (1000),Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,0,0,0,-6,5,0,0,0,2,0,0,0,0,120,0,120,0
Mastema,250,250,2 (Herald),0,1,0,0,0,1,2 (Light),4 (Law),0,0,0,83,1,0,1,1,0,98,0,5,100,70,100,0,550,400,23,22,69,59,69,47,53,24,20,24,16,19,103,10,5,1,1,98,5,0,0,0,0,0,0,231,30,0,0,100,4,0,Skill_GreatLament (399),Skill_FloralGust (58),Skill_Hamabarion (69),Skill_DarkSword (188),,,,,,,,,84,440,85,72,86,504,,,,,,,,,,,,,,,,,,,Skill_CrimeandPunishment (606),100,125,Repel (999),100,Repel (999),Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,-5,0,-3,3,3,0,3,0,0,0,0,0,0,120,0,120,0
